,b0,b1,b2,b3,b4,b5,b6,b7
b0,0.28919071873231467,0.18562535370684777,0.17260894170911148,0.1873231465761177,0.17260894170911148,0.1941143180531975,0.19015280135823429,0.18109790605546122
b1,0.18562535370684777,0.29088851160158463,0.17543859649122806,0.1941143180531975,0.1799660441426146,0.20090548953027731,0.19637804187889077,0.18788907753254103
b2,0.17260894170911148,0.17543859649122806,0.2801358234295416,0.18053197509903793,0.16694963214487832,0.19468024900962083,0.17713638936049803,0.1867572156196944
b3,0.1873231465761177,0.1941143180531975,0.18053197509903793,0.3174872665534805,0.18845500848896435,0.20656479909451048,0.200339558573854,0.20543293718166383
b4,0.17260894170911148,0.1799660441426146,0.16694963214487832,0.18845500848896435,0.27956989247311825,0.19468024900962083,0.17940011318619128,0.18109790605546122
b5,0.1941143180531975,0.20090548953027731,0.19468024900962083,0.20656479909451048,0.19468024900962083,0.37125070741369554,0.22354272778720996,0.23712507074136954
b6,0.19015280135823429,0.19637804187889077,0.17713638936049803,0.200339558573854,0.17940011318619128,0.22354272778720996,0.3463497453310696,0.211092246745897
b7,0.18109790605546122,0.18788907753254103,0.1867572156196944,0.20543293718166383,0.18109790605546122,0.23712507074136954,0.211092246745897,0.33842671194114315
