model,qwk,acc,macro_f1,qwk_lo,qwk_hi,study_best,best_epoch
EfficientNet-b7,0.8669378113831656,0.6615732880588568,0.6052424730626704,0.8458537370150481,0.8862715474353502,0.8473608774304346,28
EfficientNet-b6,0.8449912238295276,0.6536502546689303,0.5802898760063311,0.8218992324664998,0.8660287995157956,0.8383308506874413,13
EfficientNet-b5,0.8448980241688444,0.6287492925863045,0.5518822924992899,0.8219996234467594,0.8641976100971361,0.8276728404851136,10
